Fiyat,Yil,Kilometre,Motor_Hacmi,Motor_Gucu,Marka,Vites_Tipi,Yakit_Tipi,Segment
2295000.0,2023,37500.0,1497.0,190.0,Nissan,Otomatik,Hibrit,PREMIUM
2850000.0,2024,10000.0,1497.0,190.0,Nissan,Otomatik,Hibrit,PREMIUM
1380000.0,2016,86500.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
1475000.0,2016,205000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1000000.0,2010,78800.0,1598.0,115.0,Nissan,Düz,Benzin,ORTA
975000.0,2012,74000.0,1598.0,117.0,Nissan,Otomatik,Benzin,ORTA
1275000.0,2018,75000.0,1598.0,117.0,Nissan,Otomatik,Benzin,ORTA
1425000.0,2016,169000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
995000.0,2014,233000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
3350000.0,2024,13500.0,1497.0,213.0,Nissan,Otomatik,Benzin,PREMIUM
1195000.0,2012,107000.0,1461.0,106.0,Nissan,Düz,Dizel,ORTA
650000.0,2011,256000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
1299999.0,2016,156000.0,1197.0,115.0,Nissan,Otomatik,Benzin,ORTA
1300000.0,2015,160500.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1330000.0,2015,185000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
3250000.0,2025,18000.0,1497.0,213.0,Nissan,Otomatik,Benzin,PREMIUM
1729000.0,2020,103942.0,1461.0,115.0,Nissan,Yarı Otomatik,Dizel,UST
1909950.0,2022,92295.0,1497.0,190.0,Nissan,Otomatik,Hibrit,PREMIUM
1960000.0,2022,68000.0,1497.0,190.0,Nissan,Otomatik,Hibrit,PREMIUM
975000.0,2016,203000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
890000.0,2013,117000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
1100000.0,2012,125000.0,1598.0,117.0,Nissan,Otomatik,Benzin,ORTA
1455000.0,2020,145000.0,1332.0,160.0,Nissan,Yarı Otomatik,Benzin,PREMIUM
2699000.0,2025,24470.0,1332.0,158.0,Nissan,Otomatik,Hibrit,PREMIUM
1420000.0,2018,165000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1265000.0,2016,234000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1849000.0,2021,96900.0,2298.0,190.0,Nissan,Otomatik,Dizel,PREMIUM
1350000.0,2017,99000.0,2298.0,190.0,Nissan,Otomatik,Dizel,PREMIUM
1650000.0,2016,118000.0,2298.0,190.0,Nissan,Otomatik,Dizel,PREMIUM
2275000.0,2024,18000.0,1332.0,158.0,Nissan,Otomatik,Benzin,PREMIUM
2049950.0,2024,19000.0,1332.0,158.0,Nissan,Yarı Otomatik,Hibrit,PREMIUM
2090000.0,2023,63000.0,1497.0,190.0,Nissan,Otomatik,Hibrit,PREMIUM
2999000.0,2025,6001.0,1497.0,190.0,Nissan,Otomatik,Hibrit,PREMIUM
2179900.0,2023,28000.0,1497.0,190.0,Nissan,Otomatik,Hibrit,PREMIUM
925000.0,2012,158000.0,1461.0,106.0,Nissan,Düz,Dizel,ORTA
765000.0,2010,228000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
1730000.0,2020,78000.0,1461.0,115.0,Nissan,Yarı Otomatik,Dizel,UST
1730000.0,2020,124000.0,1461.0,115.0,Nissan,Yarı Otomatik,Dizel,UST
1695000.0,2025,6500.0,999.0,115.0,Nissan,Yarı Otomatik,Benzin,UST
1550000.0,2024,40000.0,999.0,115.0,Nissan,Yarı Otomatik,Benzin,UST
1369900.0,2016,105000.0,1197.0,115.0,Nissan,Otomatik,Benzin,UST
1490000.0,2016,18500.0,1197.0,115.0,Nissan,Otomatik,Benzin,UST
485000.0,2012,330000.0,2488.0,133.0,Nissan,Düz,Dizel,EKONOMIK
750000.0,2010,230000.0,1461.0,106.0,Nissan,Düz,Dizel,ORTA
1730000.0,2020,124000.0,1461.0,115.0,Nissan,Yarı Otomatik,Dizel,UST
940000.0,2012,120000.0,1598.0,115.0,Nissan,Düz,Benzin,ORTA
1360000.0,2017,137000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
965000.0,2014,230000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
825000.0,2012,119700.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
1465000.0,2016,170000.0,2298.0,190.0,Nissan,Otomatik,Dizel,EKONOMIK
1495000.0,2017,113000.0,2298.0,190.0,Nissan,Otomatik,Dizel,PREMIUM
1875000.0,2021,76769.0,2298.0,190.0,Nissan,Otomatik,Dizel,PREMIUM
1265000.0,2018,45000.0,1598.0,117.0,Nissan,Otomatik,Benzin,UST
1195000.0,2015,55000.0,1598.0,117.0,Nissan,Otomatik,Benzin,ORTA
899000.0,2013,113000.0,1598.0,117.0,Nissan,Otomatik,Benzin,ORTA
1089900.0,2018,125000.0,1598.0,117.0,Nissan,Otomatik,Benzin,ORTA
975000.0,2012,128000.0,1598.0,117.0,Nissan,Otomatik,Benzin,ORTA
744900.0,2011,219000.0,1598.0,117.0,Nissan,Otomatik,Benzin,ORTA
685000.0,2011,154000.0,1598.0,117.0,Nissan,Düz,LPG & Benzin,ORTA
865000.0,2011,135000.0,1598.0,117.0,Nissan,Otomatik,Benzin,ORTA
819500.0,2012,152000.0,1598.0,117.0,Nissan,Otomatik,Benzin,ORTA
855000.0,2014,237000.0,1598.0,117.0,Nissan,Otomatik,Benzin,ORTA
3300000.0,2025,6001.0,1497.0,163.0,Nissan,Otomatik,Benzin,PREMIUM
2950000.0,2024,45000.0,1497.0,213.0,Nissan,Otomatik,Hibrit,PREMIUM
2830000.0,2024,19000.0,1497.0,163.0,Nissan,Otomatik,Hibrit,PREMIUM
2675000.0,2024,88000.0,1497.0,213.0,Nissan,Otomatik,Benzin,PREMIUM
2830000.0,2024,19000.0,1497.0,163.0,Nissan,Otomatik,Hibrit,PREMIUM
2675000.0,2024,88000.0,1497.0,213.0,Nissan,Otomatik,Benzin,PREMIUM
1500000.0,2015,93000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
