Yil,Kilometre,Motor_Hacmi,Motor_Gucu,Tork,Hizlanma_0_100,Maks_Hiz,Uzunluk,Genislik,Yukseklik,Bos_Agirlik,Koltuk_Sayisi,Bagaj_Hacmi,Silindir_Sayisi,Ort_Kasko,Marka,Vites_Tipi,Yakit_Tipi,Kasa_Tipi,Cekis,Kimden,Fiyat,Tahmin_Fiyat,Gercek_Fiyat,Fark_TL,Fark_Pct,Durum
2015,229000.0,1598.0,130.0,,10.7,,4379.0,1800.0,1590.0,,5.0,,4.0,17538.0,Nissan,Otomatik,Dizel,SUV,Önden Çekiş,Galeriden,1150000.0,1184595,1150000,-34595,-2.9,MAKUL
2017,163000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Dizel,SUV,Önden Çekiş,Galeriden,1235000.0,1467590,1235000,-232590,-15.8,FIRSAT
2012,143000.0,1461.0,110.0,,12.2,,4330.0,1783.0,1615.0,,5.0,,4.0,15761.0,Nissan,Düz,Dizel,SUV,Önden Çekiş,Galeriden,985000.0,1001883,985000,-16883,-1.7,MAKUL
2014,137000.0,1197.0,115.0,,11.3,,4379.0,1800.0,1590.0,,5.0,,4.0,17977.0,Nissan,Düz,LPG & Benzin,SUV,Önden Çekiş,Sahibinden,910000.0,954692,910000,-44692,-4.7,MAKUL
2017,140000.0,1598.0,130.0,,10.7,,4379.0,1800.0,1590.0,,5.0,,4.0,18918.0,Nissan,Otomatik,Dizel,SUV,Önden Çekiş,Sahibinden,1340000.0,1482793,1340000,-142793,-9.6,MAKUL
2012,120000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,995000.0,984479,995000,10520,1.1,MAKUL
2025,18387.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Benzin,SUV,Önden Çekiş,Sahibinden,1550000.0,1693562,1550000,-143562,-8.5,MAKUL
2021,34000.0,1332.0,158.0,,10.1,,4394.0,1806.0,1590.0,,5.0,,4.0,15528.0,Nissan,Yarı Otomatik,Benzin,SUV,Önden Çekiş,Sahibinden,1800000.0,1817799,1800000,-17799,-1.0,MAKUL
2018,110000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Dizel,SUV,Önden Çekiş,Galeriden,1840000.0,1635364,1840000,204635,12.5,PAHALI
2023,14000.0,1497.0,213.0,,7.0,,4680.0,1840.0,1725.0,,5.0,,3.0,15946.0,Nissan,Otomatik,Benzin,SUV,4WD (Sürekli),Galeriden,2650950.0,2665572,2650950,-14622,-0.5,MAKUL
2014,199000.0,1598.0,130.0,,11.4,,4643.0,1820.0,1695.0,,7.0,,4.0,16177.0,Nissan,Otomatik,Dizel,SUV,Önden Çekiş,Galeriden,1259000.0,1278214,1259000,-19214,-1.5,MAKUL
2016,98000.0,1598.0,130.0,,11.4,,4643.0,1820.0,1695.0,,7.0,,4.0,16177.0,Nissan,Otomatik,Dizel,SUV,Önden Çekiş,Galeriden,1699750.0,1665309,1699750,34440,2.1,MAKUL
2014,205000.0,1598.0,130.0,,11.4,,4643.0,1820.0,1695.0,,7.0,,4.0,16177.0,Nissan,Otomatik,Dizel,SUV,Önden Çekiş,Galeriden,1285000.0,1282145,1285000,2854,0.2,MAKUL
2012,335000.0,1461.0,110.0,,12.2,,4330.0,1783.0,1615.0,,5.0,,4.0,13348.0,Nissan,Düz,Dizel,SUV,Önden Çekiş,Galeriden,839750.0,811234,839750,28515,3.5,MAKUL
2020,79000.0,1461.0,115.0,,13.0,,4394.0,1806.0,1590.0,,5.0,,4.0,15261.0,Nissan,Yarı Otomatik,Dizel,SUV,Önden Çekiş,Galeriden,1919000.0,1823890,1919000,95109,5.2,MAKUL
2019,113000.0,1461.0,115.0,,13.0,,4394.0,1806.0,1590.0,,5.0,,4.0,15261.0,Nissan,Yarı Otomatik,Dizel,SUV,Önden Çekiş,Galeriden,1219500.0,1276904,1219500,-57404,-4.5,MAKUL
2024,25000.0,1332.0,158.0,,9.2,,4425.0,1848.0,1625.0,,5.0,,4.0,18751.0,Nissan,Otomatik,Benzin,SUV,Önden Çekiş,Yetkili Bayiden,2199900.0,2195304,2199900,4595,0.2,MAKUL
2015,135000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,1165000.0,1184824,1165000,-19824,-1.7,MAKUL
2015,190500.0,1197.0,115.0,,12.9,,4379.0,1800.0,1590.0,,5.0,,4.0,17977.0,Nissan,Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,1280000.0,1170660,1280000,109339,9.3,MAKUL
2017,50000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Düz,Benzin,SUV,Önden Çekiş,Galeriden,1270000.0,1439677,1270000,-169677,-11.8,FIRSAT
2017,119485.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,1315000.0,1319980,1315000,-4980,-0.4,MAKUL
2025,13000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,2319000.0,2304980,2319000,14019,0.6,MAKUL
2012,191000.0,1461.0,110.0,,12.2,,4541.0,1780.0,1645.0,,7.0,,4.0,13348.0,Nissan,Düz,Dizel,SUV,Önden Çekiş,Galeriden,1030000.0,996050,1030000,33949,3.4,MAKUL
2025,6001.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Hibrit,SUV,Önden Çekiş,Galeriden,2475000.0,2514212,2475000,-39212,-1.6,MAKUL
2023,41000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Benzin,SUV,AWD (Elektronik),Galeriden,2125000.0,2135247,2125000,-10247,-0.5,MAKUL
2016,139000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,1270000.0,1232334,1270000,37665,3.1,MAKUL
2021,69400.0,1332.0,158.0,,10.1,,4394.0,1806.0,1590.0,,5.0,,4.0,15528.0,Nissan,Yarı Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,1768750.0,1775366,1768750,-6616,-0.4,MAKUL
2023,68000.0,999.0,115.0,,11.8,,4210.0,1800.0,1595.0,,5.0,,3.0,11957.0,Nissan,Yarı Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,1405000.0,1408934,1405000,-3934,-0.3,MAKUL
